Gene,Diplotype,Phenotype
CYP2C19,*29/*37,Indeterminate
CYP2C19,*29/*38,Indeterminate
CYP2C19,*3/*12,Indeterminate
CYP2C19,*3/*14,Indeterminate
CYP2C19,*3/*23,Indeterminate
CYP2C19,*3/*29,Indeterminate
CYP2C19,*3/*30,Indeterminate
CYP2C19,*3/*31,Indeterminate
CYP2C19,*3/*32,Indeterminate
CYP2C19,*3/*33,Indeterminate
CYP2C19,*3/*34,Indeterminate
CYP2C19,*30/*30,Indeterminate
CYP2C19,*30/*31,Indeterminate
CYP2C19,*30/*32,Indeterminate
CYP2C19,*30/*33,Indeterminate
CYP2C19,*30/*34,Indeterminate
CYP2C19,*30/*35,Indeterminate
CYP2C19,*30/*36,Indeterminate
CYP2C19,*30/*37,Indeterminate
CYP2C19,*30/*38,Indeterminate
CYP2C19,*31/*31,Indeterminate
CYP2C19,*31/*32,Indeterminate
CYP2C19,*31/*33,Indeterminate
CYP2C19,*31/*34,Indeterminate
CYP2C19,*31/*35,Indeterminate
CYP2C19,*31/*36,Indeterminate
CYP2C19,*31/*37,Indeterminate
CYP2C19,*31/*38,Indeterminate
CYP2C19,*32/*32,Indeterminate
CYP2C19,*32/*33,Indeterminate
CYP2C19,*32/*34,Indeterminate
CYP2C19,*32/*35,Indeterminate
CYP2C19,*32/*36,Indeterminate
CYP2C19,*32/*37,Indeterminate
CYP2C19,*32/*38,Indeterminate
CYP2C19,*33/*33,Indeterminate
CYP2C19,*33/*34,Indeterminate
CYP2C19,*33/*35,Indeterminate
CYP2C19,*33/*36,Indeterminate
CYP2C19,*33/*37,Indeterminate
CYP2C19,*33/*38,Indeterminate
CYP2C19,*34/*34,Indeterminate
CYP2C19,*34/*35,Indeterminate
CYP2C19,*34/*36,Indeterminate
CYP2C19,*34/*37,Indeterminate
CYP2C19,*34/*38,Indeterminate
CYP2C19,*4/*12,Indeterminate
CYP2C19,*4/*14,Indeterminate
CYP2C19,*4/*23,Indeterminate
CYP2C19,*4/*29,Indeterminate
CYP2C19,*4/*30,Indeterminate
CYP2C19,*4/*31,Indeterminate
CYP2C19,*4/*32,Indeterminate
CYP2C19,*4/*33,Indeterminate
CYP2C19,*4/*34,Indeterminate
CYP2C19,*5/*12,Indeterminate
CYP2C19,*5/*14,Indeterminate
CYP2C19,*5/*23,Indeterminate
CYP2C19,*5/*29,Indeterminate
CYP2C19,*5/*30,Indeterminate
CYP2C19,*5/*31,Indeterminate
CYP2C19,*5/*32,Indeterminate
CYP2C19,*5/*33,Indeterminate
CYP2C19,*5/*34,Indeterminate
CYP2C19,*6/*12,Indeterminate
CYP2C19,*6/*14,Indeterminate
CYP2C19,*6/*23,Indeterminate
CYP2C19,*6/*29,Indeterminate
CYP2C19,*6/*30,Indeterminate
CYP2C19,*6/*31,Indeterminate
CYP2C19,*6/*32,Indeterminate
CYP2C19,*6/*33,Indeterminate
CYP2C19,*6/*34,Indeterminate
CYP2C19,*7/*12,Indeterminate
CYP2C19,*7/*14,Indeterminate
CYP2C19,*7/*23,Indeterminate
CYP2C19,*7/*29,Indeterminate
CYP2C19,*7/*30,Indeterminate
CYP2C19,*7/*31,Indeterminate
CYP2C19,*7/*32,Indeterminate
CYP2C19,*7/*33,Indeterminate
CYP2C19,*7/*34,Indeterminate
CYP2C19,*8/*12,Indeterminate
CYP2C19,*8/*14,Indeterminate
CYP2C19,*8/*23,Indeterminate
CYP2C19,*8/*29,Indeterminate
CYP2C19,*8/*30,Indeterminate
CYP2C19,*8/*31,Indeterminate
CYP2C19,*8/*32,Indeterminate
CYP2C19,*8/*33,Indeterminate
CYP2C19,*8/*34,Indeterminate
CYP2C19,*9/*12,Indeterminate
CYP2C19,*9/*14,Indeterminate
CYP2C19,*9/*23,Indeterminate
CYP2C19,*9/*29,Indeterminate
CYP2C19,*9/*30,Indeterminate
CYP2C19,*9/*31,Indeterminate
CYP2C19,*9/*32,Indeterminate
CYP2C19,*9/*33,Indeterminate
CYP2C19,*9/*34,Indeterminate
CYP3A5,*1/*1,Normal Metabolizer
CYP3A5,*1/*2,Possible Intermediate Metabolizer
CYP3A5,*1/*3,Intermediate Metabolizer
CYP3A5,*1/*4,Possible Intermediate Metabolizer
CYP3A5,*1/*5,Possible Intermediate Metabolizer
CYP3A5,*1/*6,Intermediate Metabolizer
CYP3A5,*1/*7,Intermediate Metabolizer
CYP3A5,*1/*8,Possible Intermediate Metabolizer
CYP3A5,*1/*9,Possible Intermediate Metabolizer
CYP3A5,*2/*2,Indeterminate
CYP3A5,*2/*3,Indeterminate
CYP3A5,*2/*4,Indeterminate
CYP3A5,*2/*5,Indeterminate
CYP3A5,*2/*6,Indeterminate
CYP3A5,*2/*7,Indeterminate
CYP3A5,*2/*8,Indeterminate
CYP3A5,*2/*9,Indeterminate
CYP3A5,*3/*3,Poor Metabolizer
CYP3A5,*3/*4,Indeterminate
CYP3A5,*3/*5,Indeterminate
CYP3A5,*3/*6,Poor Metabolizer
CYP3A5,*3/*7,Poor Metabolizer
CYP3A5,*3/*8,Indeterminate
CYP3A5,*3/*9,Indeterminate
CYP3A5,*4/*4,Indeterminate
CYP3A5,*4/*5,Indeterminate
CYP3A5,*4/*6,Indeterminate
CYP3A5,*4/*7,Indeterminate
CYP3A5,*4/*8,Indeterminate
CYP3A5,*4/*9,Indeterminate
CYP3A5,*5/*5,Indeterminate
CYP3A5,*5/*6,Indeterminate
CYP3A5,*5/*7,Indeterminate
CYP3A5,*5/*8,Indeterminate
CYP3A5,*5/*9,Indeterminate
CYP3A5,*6/*6,Poor Metabolizer
CYP3A5,*6/*7,Poor Metabolizer
CYP3A5,*6/*8,Indeterminate
CYP3A5,*6/*9,Indeterminate
CYP3A5,*7/*7,Poor metabolizer
CYP3A5,*7/*8,Indeterminate
CYP3A5,*7/*9,Indeterminate
CYP3A5,*8/*8,Indeterminate
CYP3A5,*8/*9,Indeterminate
CYP3A5,*9/*9,Indeterminate
NUDT15,*1/*4,Indeterminate
NUDT15,*1/*5,Indeterminate
NUDT15,*1/*6,Indeterminate
NUDT15,*1/*7,Indeterminate
NUDT15,*1/*8,Indeterminate
NUDT15,*4/*4,Indeterminate
NUDT15,*4/*5,Indeterminate
NUDT15,*4/*6,Indeterminate
NUDT15,*4/*7,Indeterminate
NUDT15,*4/*8,Indeterminate
NUDT15,*5/*5,Indeterminate
NUDT15,*5/*6,Indeterminate
NUDT15,*5/*7,Indeterminate
NUDT15,*5/*8,Indeterminate
NUDT15,*6/*6,Indeterminate
NUDT15,*6/*7,Indeterminate
NUDT15,*6/*8,Indeterminate
NUDT15,*7/*7,Indeterminate
NUDT15,*7/*8,Indeterminate
NUDT15,*8/*8,Indeterminate
NUDT15,*1/*2,Intermediate Metabolizer
NUDT15,*1/*3,Intermediate Metabolizer
NUDT15,*1/*9,Intermediate Metabolizer
NUDT15,*1/*1,Normal Metabolizer
NUDT15,*2/*2,Poor Metabolizer
NUDT15,*2/*3,Poor Metabolizer
NUDT15,*2/*9,Poor Metabolizer
NUDT15,*3/*3,Poor Metabolizer
NUDT15,*3/*9,Poor Metabolizer
NUDT15,*9/*9,Poor Metabolizer
NUDT15,*2/*4,Possible Intermediate Metabolizer
NUDT15,*2/*5,Possible Intermediate Metabolizer
NUDT15,*2/*6,Possible Intermediate Metabolizer
NUDT15,*2/*7,Possible Intermediate Metabolizer
NUDT15,*2/*8,Possible Intermediate Metabolizer
NUDT15,*3/*4,Possible Intermediate Metabolizer
NUDT15,*3/*5,Possible Intermediate Metabolizer
NUDT15,*3/*6,Possible Intermediate Metabolizer
NUDT15,*3/*7,Possible Intermediate Metabolizer
NUDT15,*3/*8,Possible Intermediate Metabolizer
NUDT15,*4/*9,Possible Intermediate Metabolizer
NUDT15,*5/*9,Possible Intermediate Metabolizer
NUDT15,*6/*9,Possible Intermediate Metabolizer
NUDT15,*7/*9,Possible Intermediate Metabolizer
NUDT15,*8/*9,Possible Intermediate Metabolizer
SLCO1B1,*1A/*1A,Normal Function
SLCO1B1,*1A/*1B,Normal Function
SLCO1B1,*1A/*2,Possible Decreased Function
SLCO1B1,*1A/*3,Possible Decreased Function
SLCO1B1,*1A/*4,Indeterminate
SLCO1B1,*1A/*5,Decreased Function
SLCO1B1,*1A/*6,Possible Decreased Function
SLCO1B1,*1A/*7,Indeterminate
SLCO1B1,*1A/*8,Indeterminate
SLCO1B1,*1A/*9,Possible Decreased Function
SLCO1B1,*1A/*10,Possible Decreased Function
SLCO1B1,*1A/*11,Indeterminate
SLCO1B1,*1A/*12,Indeterminate
SLCO1B1,*1A/*13,Indeterminate
SLCO1B1,*1A/*14,Possible Increased Function
SLCO1B1,*1A/*15,Decreased Function
SLCO1B1,*1A/*16,Indeterminate
SLCO1B1,*1A/*17,Decreased Functionc
SLCO1B1,*1A/*18,Indeterminate
SLCO1B1,*1A/*19,Indeterminate
SLCO1B1,*1A/*20,Indeterminate
SLCO1B1,*1A/*21,Indeterminate
SLCO1B1,*1A/*22,Indeterminate
SLCO1B1,*1A/*23,Possible Decreased Function
SLCO1B1,*1A/*24,Indeterminate
SLCO1B1,*1A/*25,Indeterminate
SLCO1B1,*1A/*26,Indeterminate
SLCO1B1,*1A/*27,Indeterminate
SLCO1B1,*1A/*28,Indeterminate
SLCO1B1,*1A/*29,Indeterminate
SLCO1B1,*1A/*30,Indeterminate
SLCO1B1,*1A/*31,Possible Decreased Function
SLCO1B1,*1A/*32,Indeterminate
SLCO1B1,*1A/*33,Indeterminate
SLCO1B1,*1A/*34,Indeterminate
SLCO1B1,*1A/*35,Possible Increased Function
SLCO1B1,*1A/*36,Indeterminate
SLCO1B1,*1B/*1B,Normal Function
SLCO1B1,*1B/*2,Possible Decreased Function
SLCO1B1,*1B/*3,Possible Decreased Function
SLCO1B1,*1B/*4,Indeterminate
SLCO1B1,*1B/*5,Decreased Function
SLCO1B1,*1B/*6,Possible Decreased Function
SLCO1B1,*1B/*7,Indeterminate
SLCO1B1,*1B/*8,Indeterminate
SLCO1B1,*1B/*9,Possible Decreased Function
SLCO1B1,*1B/*10,Possible Decreased Function
SLCO1B1,*1B/*11,Indeterminate
SLCO1B1,*1B/*12,Indeterminate
SLCO1B1,*1B/*13,Indeterminate
SLCO1B1,*1B/*14,Possible Increased Function
SLCO1B1,*1B/*15,Decreased Function
SLCO1B1,*1B/*16,Indeterminate
SLCO1B1,*1B/*17,Decreased Function
SLCO1B1,*1B/*18,Indeterminate
SLCO1B1,*1B/*19,Indeterminate
SLCO1B1,*1B/*20,Indeterminate
SLCO1B1,*1B/*21,Indeterminate
SLCO1B1,*1B/*22,Indeterminate
SLCO1B1,*1B/*23,Possible Decreased Function
SLCO1B1,*1B/*24,Indeterminate
SLCO1B1,*1B/*25,Indeterminate
SLCO1B1,*1B/*26,Indeterminate
SLCO1B1,*1B/*27,Indeterminate
SLCO1B1,*1B/*28,Indeterminate
SLCO1B1,*1B/*29,Indeterminate
SLCO1B1,*1B/*30,Indeterminate
SLCO1B1,*1B/*31,Possible Decreased Function
SLCO1B1,*1B/*32,Indeterminate
SLCO1B1,*1B/*33,Indeterminate
SLCO1B1,*1B/*34,Indeterminate
SLCO1B1,*1B/*35,Possible Increased Function
SLCO1B1,*1B/*36,Indeterminate
SLCO1B1,*2/*2,Possible Poor Function
SLCO1B1,*2/*3,Possible Poor Function
SLCO1B1,*2/*4,Indeterminate
SLCO1B1,*2/*5,Possible Poor Function
SLCO1B1,*2/*6,Possible Poor Function
SLCO1B1,*2/*7,Indeterminate
SLCO1B1,*2/*8,Indeterminate
SLCO1B1,*2/*9,Possible Poor Function
SLCO1B1,*2/*10,Possible Poor Function
SLCO1B1,*2/*11,Indeterminate
SLCO1B1,*2/*12,Indeterminate
SLCO1B1,*2/*13,Indeterminate
SLCO1B1,*2/*14,Indeterminate
SLCO1B1,*2/*15,Possible Poor Function
SLCO1B1,*2/*16,Indeterminate
SLCO1B1,*2/*17,Possible Poor Function
SLCO1B1,*2/*18,Indeterminate
SLCO1B1,*2/*19,Indeterminate
SLCO1B1,*2/*20,Indeterminate
SLCO1B1,*2/*21,Indeterminate
SLCO1B1,*2/*22,Indeterminate
SLCO1B1,*2/*23,Possible Poor Function
SLCO1B1,*2/*24,Indeterminate
SLCO1B1,*2/*25,Indeterminate
SLCO1B1,*2/*26,Indeterminate
SLCO1B1,*2/*27,Indeterminate
SLCO1B1,*2/*28,Indeterminate
SLCO1B1,*2/*29,Indeterminate
SLCO1B1,*2/*30,Indeterminate
SLCO1B1,*2/*31,Possible Poor Function
SLCO1B1,*2/*32,Indeterminate
SLCO1B1,*2/*33,Indeterminate
SLCO1B1,*2/*34,Indeterminate
SLCO1B1,*2/*35,Indeterminate
SLCO1B1,*2/*36,Indeterminate
SLCO1B1,*3/*3,Possible Poor Function
SLCO1B1,*3/*4,Indeterminate
SLCO1B1,*3/*5,Possible Poor Function
SLCO1B1,*3/*6,Possible Poor Function
SLCO1B1,*3/*7,Indeterminate
SLCO1B1,*3/*8,Indeterminate
SLCO1B1,*3/*9,Possible Poor Function
SLCO1B1,*3/*10,Possible Poor Function
SLCO1B1,*3/*11,Indeterminate
SLCO1B1,*3/*12,Indeterminate
SLCO1B1,*3/*13,Indeterminate
SLCO1B1,*3/*14,Indeterminate
SLCO1B1,*3/*15,Possible Poor Function
SLCO1B1,*3/*16,Indeterminate
SLCO1B1,*3/*17,Possible Poor Function
SLCO1B1,*3/*18,Indeterminate
SLCO1B1,*3/*19,Indeterminate
SLCO1B1,*3/*20,Indeterminate
SLCO1B1,*3/*21,Indeterminate
SLCO1B1,*3/*22,Indeterminate
SLCO1B1,*3/*23,Possible Poor Function
SLCO1B1,*3/*24,Indeterminate
SLCO1B1,*3/*25,Indeterminate
SLCO1B1,*3/*26,Indeterminate
SLCO1B1,*3/*27,Indeterminate
SLCO1B1,*3/*28,Indeterminate
SLCO1B1,*3/*29,Indeterminate
SLCO1B1,*3/*30,Indeterminate
SLCO1B1,*3/*31,Possible Poor Function
SLCO1B1,*3/*32,Indeterminate
SLCO1B1,*3/*33,Indeterminate
SLCO1B1,*3/*34,Indeterminate
SLCO1B1,*3/*35,Indeterminate
SLCO1B1,*3/*36,Indeterminate
SLCO1B1,*4/*4,Indeterminate
SLCO1B1,*4/*5,Indeterminate
SLCO1B1,*4/*6,Indeterminate
SLCO1B1,*4/*7,Indeterminate
SLCO1B1,*4/*8,Indeterminate
SLCO1B1,*4/*9,Indeterminate
SLCO1B1,*4/*10,Indeterminate
SLCO1B1,*4/*11,Indeterminate
SLCO1B1,*4/*12,Indeterminate
SLCO1B1,*4/*13,Indeterminate
SLCO1B1,*4/*14,Indeterminate
SLCO1B1,*4/*15,Indeterminate
SLCO1B1,*4/*16,Indeterminate
SLCO1B1,*4/*17,Indeterminate
SLCO1B1,*4/*18,Indeterminate
SLCO1B1,*4/*19,Indeterminate
SLCO1B1,*4/*20,Indeterminate
SLCO1B1,*4/*21,Indeterminate
SLCO1B1,*4/*22,Indeterminate
SLCO1B1,*4/*23,Indeterminate
SLCO1B1,*4/*24,Indeterminate
SLCO1B1,*4/*25,Indeterminate
SLCO1B1,*4/*26,Indeterminate
SLCO1B1,*4/*27,Indeterminate
SLCO1B1,*4/*28,Indeterminate
SLCO1B1,*4/*29,Indeterminate
SLCO1B1,*4/*30,Indeterminate
SLCO1B1,*4/*31,Indeterminate
SLCO1B1,*4/*32,Indeterminate
SLCO1B1,*4/*33,Indeterminate
SLCO1B1,*4/*34,Indeterminate
SLCO1B1,*4/*35,Indeterminate
SLCO1B1,*4/*36,Indeterminate
SLCO1B1,*5/*5,Poor Function
SLCO1B1,*5/*6,Possible Poor Function
SLCO1B1,*5/*7,Indeterminate
SLCO1B1,*5/*8,Indeterminate
SLCO1B1,*5/*9,Possible Poor Function
SLCO1B1,*5/*10,Possible Poor Function
SLCO1B1,*5/*11,Indeterminate
SLCO1B1,*5/*12,Indeterminate
SLCO1B1,*5/*13,Indeterminate
SLCO1B1,*5/*14,Indeterminate
SLCO1B1,*5/*15,Poor Function
SLCO1B1,*5/*16,Indeterminate
SLCO1B1,*5/*17,Poor Function
SLCO1B1,*5/*18,Indeterminate
SLCO1B1,*5/*19,Indeterminate
SLCO1B1,*5/*20,Indeterminate
SLCO1B1,*5/*21,Indeterminate
SLCO1B1,*5/*22,Indeterminate
SLCO1B1,*5/*23,Possible Poor Function
SLCO1B1,*5/*24,Indeterminate
SLCO1B1,*5/*25,Indeterminate
SLCO1B1,*5/*26,Indeterminate
SLCO1B1,*5/*27,Indeterminate
SLCO1B1,*5/*28,Indeterminate
SLCO1B1,*5/*29,Indeterminate
SLCO1B1,*5/*30,Indeterminate
SLCO1B1,*5/*31,Possible Poor Function
SLCO1B1,*5/*32,Indeterminate
SLCO1B1,*5/*33,Indeterminate
SLCO1B1,*5/*34,Indeterminate
SLCO1B1,*5/*35,Indeterminate
SLCO1B1,*5/*36,Indeterminate
SLCO1B1,*6/*6,Possible Poor Function
SLCO1B1,*6/*7,Indeterminate
SLCO1B1,*6/*8,Indeterminate
SLCO1B1,*6/*9,Possible Poor Function
SLCO1B1,*6/*10,Possible Poor Function
SLCO1B1,*6/*11,Indeterminate
SLCO1B1,*6/*12,Indeterminate
SLCO1B1,*6/*13,Indeterminate
SLCO1B1,*6/*14,Indeterminate
SLCO1B1,*6/*15,Possible Poor Function
SLCO1B1,*6/*16,Indeterminate
SLCO1B1,*6/*17,Possible Poor Function
SLCO1B1,*6/*18,Indeterminate
SLCO1B1,*6/*19,Indeterminate
SLCO1B1,*6/*20,Indeterminate
SLCO1B1,*6/*21,Indeterminate
SLCO1B1,*6/*22,Indeterminate
SLCO1B1,*6/*23,Possible Poor Function
SLCO1B1,*6/*24,Indeterminate
SLCO1B1,*6/*25,Indeterminate
SLCO1B1,*6/*26,Indeterminate
SLCO1B1,*6/*27,Indeterminate
SLCO1B1,*6/*28,Indeterminate
SLCO1B1,*6/*29,Indeterminate
SLCO1B1,*6/*30,Indeterminate
SLCO1B1,*6/*31,Possible Poor Function
SLCO1B1,*6/*32,Indeterminate
SLCO1B1,*6/*33,Indeterminate
SLCO1B1,*6/*34,Indeterminate
SLCO1B1,*6/*35,Indeterminate
SLCO1B1,*6/*36,Indeterminate
SLCO1B1,*7/*7,Indeterminate
SLCO1B1,*7/*8,Indeterminate
SLCO1B1,*7/*9,Indeterminate
SLCO1B1,*7/*10,Indeterminate
SLCO1B1,*7/*11,Indeterminate
SLCO1B1,*7/*12,Indeterminate
SLCO1B1,*7/*13,Indeterminate
SLCO1B1,*7/*14,Indeterminate
SLCO1B1,*7/*15,Indeterminate
SLCO1B1,*7/*16,Indeterminate
SLCO1B1,*7/*17,Indeterminate
SLCO1B1,*7/*18,Indeterminate
SLCO1B1,*7/*19,Indeterminate
SLCO1B1,*7/*20,Indeterminate
SLCO1B1,*7/*21,Indeterminate
SLCO1B1,*7/*22,Indeterminate
SLCO1B1,*7/*23,Indeterminate
SLCO1B1,*7/*24,Indeterminate
SLCO1B1,*7/*25,Indeterminate
SLCO1B1,*7/*26,Indeterminate
SLCO1B1,*7/*27,Indeterminate
SLCO1B1,*7/*28,Indeterminate
SLCO1B1,*7/*29,Indeterminate
SLCO1B1,*7/*30,Indeterminate
SLCO1B1,*7/*31,Indeterminate
SLCO1B1,*7/*32,Indeterminate
SLCO1B1,*7/*33,Indeterminate
SLCO1B1,*7/*34,Indeterminate
SLCO1B1,*7/*35,Indeterminate
SLCO1B1,*7/*36,Indeterminate
SLCO1B1,*8/*8,Indeterminate
SLCO1B1,*8/*9,Indeterminate
SLCO1B1,*8/*10,Indeterminate
SLCO1B1,*8/*11,Indeterminate
SLCO1B1,*8/*12,Indeterminate
SLCO1B1,*8/*13,Indeterminate
SLCO1B1,*8/*14,Indeterminate
SLCO1B1,*8/*15,Indeterminate
SLCO1B1,*8/*16,Indeterminate
SLCO1B1,*8/*17,Indeterminate
SLCO1B1,*8/*18,Indeterminate
SLCO1B1,*8/*19,Indeterminate
SLCO1B1,*8/*20,Indeterminate
SLCO1B1,*8/*21,Indeterminate
SLCO1B1,*8/*22,Indeterminate
SLCO1B1,*8/*23,Indeterminate
SLCO1B1,*8/*24,Indeterminate
SLCO1B1,*8/*25,Indeterminate
SLCO1B1,*8/*26,Indeterminate
SLCO1B1,*8/*27,Indeterminate
SLCO1B1,*8/*28,Indeterminate
SLCO1B1,*8/*29,Indeterminate
SLCO1B1,*8/*30,Indeterminate
SLCO1B1,*8/*31,Indeterminate
SLCO1B1,*8/*32,Indeterminate
SLCO1B1,*8/*33,Indeterminate
SLCO1B1,*8/*34,Indeterminate
SLCO1B1,*8/*35,Indeterminate
SLCO1B1,*8/*36,Indeterminate
SLCO1B1,*9/*9,Possible Poor Function
SLCO1B1,*9/*10,Possible Poor Function
SLCO1B1,*9/*11,Indeterminate
SLCO1B1,*9/*12,Indeterminate
SLCO1B1,*9/*13,Indeterminate
SLCO1B1,*9/*14,Indeterminate
SLCO1B1,*9/*15,Possible Poor Function
SLCO1B1,*9/*16,Indeterminate
SLCO1B1,*9/*17,Possible Poor Function
SLCO1B1,*9/*18,Indeterminate
SLCO1B1,*9/*19,Indeterminate
SLCO1B1,*9/*20,Indeterminate
SLCO1B1,*9/*21,Indeterminate
SLCO1B1,*9/*22,Indeterminate
SLCO1B1,*9/*23,Possible Poor Function
SLCO1B1,*9/*24,Indeterminate
SLCO1B1,*9/*25,Indeterminate
SLCO1B1,*9/*26,Indeterminate
SLCO1B1,*9/*27,Indeterminate
SLCO1B1,*9/*28,Indeterminate
SLCO1B1,*9/*29,Indeterminate
SLCO1B1,*9/*30,Indeterminate
SLCO1B1,*9/*31,Possible Poor Function
SLCO1B1,*9/*32,Indeterminate
SLCO1B1,*9/*33,Indeterminate
SLCO1B1,*9/*34,Indeterminate
SLCO1B1,*9/*35,Indeterminate
SLCO1B1,*9/*36,Indeterminate
SLCO1B1,*10/*10,Possible Poor Function
SLCO1B1,*10/*11,Indeterminate
SLCO1B1,*10/*12,Indeterminate
SLCO1B1,*10/*13,Indeterminate
SLCO1B1,*10/*14,Indeterminate
SLCO1B1,*10/*15,Possible Poor Function
SLCO1B1,*10/*16,Indeterminate
SLCO1B1,*10/*17,Possible Poor Function
SLCO1B1,*10/*18,Indeterminate
SLCO1B1,*10/*19,Indeterminate
SLCO1B1,*10/*20,Indeterminate
SLCO1B1,*10/*21,Indeterminate
SLCO1B1,*10/*22,Indeterminate
SLCO1B1,*10/*23,Possible Poor Function
SLCO1B1,*10/*24,Indeterminate
SLCO1B1,*10/*25,Indeterminate
SLCO1B1,*10/*26,Indeterminate
SLCO1B1,*10/*27,Indeterminate
SLCO1B1,*10/*28,Indeterminate
SLCO1B1,*10/*29,Indeterminate
SLCO1B1,*10/*30,Indeterminate
SLCO1B1,*10/*31,Possible Poor Function
SLCO1B1,*10/*32,Indeterminate
SLCO1B1,*10/*33,Indeterminate
SLCO1B1,*10/*34,Indeterminate
SLCO1B1,*10/*35,Indeterminate
SLCO1B1,*10/*36,Indeterminate
SLCO1B1,*11/*11,Indeterminate
SLCO1B1,*11/*12,Indeterminate
SLCO1B1,*11/*13,Indeterminate
SLCO1B1,*11/*14,Indeterminate
SLCO1B1,*11/*15,Indeterminate
SLCO1B1,*11/*16,Indeterminate
SLCO1B1,*11/*17,Indeterminate
SLCO1B1,*11/*18,Indeterminate
SLCO1B1,*11/*19,Indeterminate
SLCO1B1,*11/*20,Indeterminate
SLCO1B1,*11/*21,Indeterminate
SLCO1B1,*11/*22,Indeterminate
SLCO1B1,*11/*23,Indeterminate
SLCO1B1,*11/*24,Indeterminate
SLCO1B1,*11/*25,Indeterminate
SLCO1B1,*11/*26,Indeterminate
SLCO1B1,*11/*27,Indeterminate
SLCO1B1,*11/*28,Indeterminate
SLCO1B1,*11/*29,Indeterminate
SLCO1B1,*11/*30,Indeterminate
SLCO1B1,*11/*31,Indeterminate
SLCO1B1,*11/*32,Indeterminate
SLCO1B1,*11/*33,Indeterminate
SLCO1B1,*11/*34,Indeterminate
SLCO1B1,*11/*35,Indeterminate
SLCO1B1,*11/*36,Indeterminate
SLCO1B1,*12/*12,Indeterminate
SLCO1B1,*12/*13,Indeterminate
SLCO1B1,*12/*14,Indeterminate
SLCO1B1,*12/*15,Indeterminate
SLCO1B1,*12/*16,Indeterminate
SLCO1B1,*12/*17,Indeterminate
SLCO1B1,*12/*18,Indeterminate
SLCO1B1,*12/*19,Indeterminate
SLCO1B1,*12/*20,Indeterminate
SLCO1B1,*12/*21,Indeterminate
SLCO1B1,*12/*22,Indeterminate
SLCO1B1,*12/*23,Indeterminate
SLCO1B1,*12/*24,Indeterminate
SLCO1B1,*12/*25,Indeterminate
SLCO1B1,*12/*26,Indeterminate
SLCO1B1,*12/*27,Indeterminate
SLCO1B1,*12/*28,Indeterminate
SLCO1B1,*12/*29,Indeterminate
SLCO1B1,*12/*30,Indeterminate
SLCO1B1,*12/*31,Indeterminate
SLCO1B1,*12/*32,Indeterminate
SLCO1B1,*12/*33,Indeterminate
SLCO1B1,*12/*34,Indeterminate
SLCO1B1,*12/*35,Indeterminate
SLCO1B1,*12/*36,Indeterminate
SLCO1B1,*13/*13,Indeterminate
SLCO1B1,*13/*14,Indeterminate
SLCO1B1,*13/*15,Indeterminate
SLCO1B1,*13/*16,Indeterminate
SLCO1B1,*13/*17,Indeterminate
SLCO1B1,*13/*18,Indeterminate
SLCO1B1,*13/*19,Indeterminate
SLCO1B1,*13/*20,Indeterminate
SLCO1B1,*13/*21,Indeterminate
SLCO1B1,*13/*22,Indeterminate
SLCO1B1,*13/*23,Indeterminate
SLCO1B1,*13/*24,Indeterminate
SLCO1B1,*13/*25,Indeterminate
SLCO1B1,*13/*26,Indeterminate
SLCO1B1,*13/*27,Indeterminate
SLCO1B1,*13/*28,Indeterminate
SLCO1B1,*13/*29,Indeterminate
SLCO1B1,*13/*30,Indeterminate
SLCO1B1,*13/*31,Indeterminate
SLCO1B1,*13/*32,Indeterminate
SLCO1B1,*13/*33,Indeterminate
SLCO1B1,*13/*34,Indeterminate
SLCO1B1,*13/*35,Indeterminate
SLCO1B1,*13/*36,Indeterminate
SLCO1B1,*14/*14,Possible Increased Function
SLCO1B1,*14/*15,Indeterminate
SLCO1B1,*14/*16,Indeterminate
SLCO1B1,*14/*17,Indeterminate
SLCO1B1,*14/*18,Indeterminate
SLCO1B1,*14/*19,Indeterminate
SLCO1B1,*14/*20,Indeterminate
SLCO1B1,*14/*21,Indeterminate
SLCO1B1,*14/*22,Indeterminate
SLCO1B1,*14/*23,Indeterminate
SLCO1B1,*14/*24,Indeterminate
SLCO1B1,*14/*25,Indeterminate
SLCO1B1,*14/*26,Indeterminate
SLCO1B1,*14/*27,Indeterminate
SLCO1B1,*14/*28,Indeterminate
SLCO1B1,*14/*29,Indeterminate
SLCO1B1,*14/*30,Indeterminate
SLCO1B1,*14/*31,Indeterminate
SLCO1B1,*14/*32,Indeterminate
SLCO1B1,*14/*33,Indeterminate
SLCO1B1,*14/*34,Indeterminate
SLCO1B1,*14/*35,Indeterminate
SLCO1B1,*14/*36,Indeterminate
SLCO1B1,*15/*15,Poor Function
SLCO1B1,*15/*16,Indeterminate
SLCO1B1,*15/*17,Poor Function
SLCO1B1,*15/*18,Indeterminate
SLCO1B1,*15/*19,Indeterminate
SLCO1B1,*15/*20,Indeterminate
SLCO1B1,*15/*21,Indeterminate
SLCO1B1,*15/*22,Indeterminate
SLCO1B1,*15/*23,Possible Poor Function
SLCO1B1,*15/*24,Indeterminate
SLCO1B1,*15/*25,Indeterminate
SLCO1B1,*15/*26,Indeterminate
SLCO1B1,*15/*27,Indeterminate
SLCO1B1,*15/*28,Indeterminate
SLCO1B1,*15/*29,Indeterminate
SLCO1B1,*15/*30,Indeterminate
